t802liblg429	447	71
t802liblg430	531	94
t802liblg427	450	239
t802liblg431	531	173
t802liblg433	568	227
t802liblg422	364	463
t802liblg423	403	400
t802liblg426	455	356
t802liblg403	558	469
t802liblg424	591	314
t802liblg425	591	427
t802liblg401	674	489
t802liblg402	622	541
t802liblg404	386	562
t802liblg405	348	663
t802liblg407	317	744
t802liblg406	567	703
t802liblg408	392	814
t802liblg410	563	859
t802liblg409	391	906
t802liblg411	343	940
t802liblg412	342	1008
t802liblg415	453	1127
t802liblg413	593	1059
t802liblg414	681	1081
t802liblg418	454	1281
t802liblg416	550	1205
t802liblg417	685	1242
t802liblg420	633	1478
t802liblg419	681	1381
